window_id,rank,raw_variable,component,family,position,condition_score,weight_normalized,weighted_score,share_of_condition_index_percent
17,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,97.48865206879084,0.0401002506265664,3.909319381204644,8.203575956446816
17,5,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,75.20970499930148,0.050125313283208,3.7699100250276416,7.911030085690927
18,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,84.80582746411915,0.0601503759398496,5.101102403856789,10.557993162000258
18,2,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,100.0,0.050125313283208,5.0125313283208,10.374673413478265
18,3,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,98.3755954541773,0.0476190476190476,4.684552164484632,9.69583940958869
18,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,8.29973873078261
18,5,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,93.19585119508366,0.0401002506265664,3.7371769902790426,7.735012157120886
19,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,95.11121945652218,0.0601503759398496,5.720975606407347,10.853977854302668
19,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,95.72971489728872,0.0476190476190476,4.558557852251842,8.64860984907616
19,3,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,100.0,0.0401002506265664,4.01002506265664,7.60791973601972
19,4,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,7.60791973601972
19,5,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,78.63712712085872,0.050125313283208,3.941710632624496,7.47831189258341
20,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,94.93872653481176,0.0476190476190476,4.520891739752939,10.05569256234118
20,2,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,8.919386156228047
20,3,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,60.47888683882682,0.0601503759398496,3.637827779779056,8.09151819021472
20,4,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,84.93332981280008,0.0401002506265664,3.4058478120421074,7.5755316613464
20,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,84.63986659442578,0.0401002506265664,3.394079863435619,7.549356543673101
21,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,93.63942506365572,0.0476190476190476,4.459020241126462,10.04732953218209
21,2,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,94.65582881621864,0.0401002506265664,3.795722458795733,8.552747530607945
21,3,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,87.47615069535601,0.0401002506265664,3.507815566731067,7.904018603010766
21,4,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,86.36761565110547,0.0401002506265664,3.463363033628288,7.80385551236038
21,5,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,52.65619051684603,0.0601503759398496,3.167289655148632,7.136725372009173
22,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,91.8511450170864,0.0476190476190476,4.373864048432684,10.145002283715677
22,2,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,73.81104088458899,0.050125313283208,3.6998015480996975,8.581541341737912
22,3,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,90.93055746551973,0.0401002506265664,3.646338143980739,8.457535119579177
22,4,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,86.13282850153618,0.0401002506265664,3.453948010086662,8.011293918182172
22,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,85.06262122239367,0.0401002506265664,3.4110324299706725,7.911752950867535
23,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,89.3790225072519,0.0476190476190476,4.256143928916756,9.676744787304743
23,2,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,95.05021738896602,0.0401002506265664,3.811537539407157,8.665890212378658
23,3,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,90.89807565752352,0.0401002506265664,3.645035615339288,8.287332378642514
23,4,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,70.35627626386895,0.050125313283208,3.526630389166362,8.018126925468351
23,5,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,87.43290679247451,0.0401002506265664,3.506081475387448,7.971407031212921
24,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,87.97695692664547,0.0476190476190476,4.189378901268831,8.638524699402938
24,2,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,93.63953961481756,0.0401002506265664,3.754969007110477,7.74276886332533
