Batch,weight_id,weight_variable,matched_raw_column,component,family,position,unit,value_stat,orientation,v0_estimated,h_estimated,hh_estimated,min_value,p01,p05,median_value,p95,p99,max_value,n_windows,threshold_method,threshold_warning
MEZCLA,1.0,Desplazamiento Pico a Pico VIX1 — LL Motor [µm],LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,um,mean,cost,25.64318977616666,30.077469215166666,30.366346312216667,25.29660891,25.443867185233334,25.64318977616666,29.03736535833333,30.077469215166666,30.366346312216667,30.695918071666664,508,batch_percentile_p05_p95_p99,
MEZCLA,2.0,Desplazamiento Pico a Pico VIY1 — LL Motor [µm],LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,um,mean,cost,25.48086893191667,30.419847528583333,30.812027234066665,24.958300381666668,25.19809941165,25.48086893191667,29.23263976333333,30.419847528583333,30.812027234066665,31.261300141666663,508,batch_percentile_p05_p95_p99,
MEZCLA,3.0,Desplazamiento Pico a Pico VIX2 — LA Motor [µm],LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,um,mean,cost,32.123334262166665,36.59262012258333,36.84410398466667,31.51859164333333,31.718289233883333,32.123334262166665,35.788401205,36.59262012258333,36.84410398466667,37.504386435,508,batch_percentile_p05_p95_p99,
MEZCLA,4.0,Desplazamiento Pico a Pico VIY2 — LA Motor [µm],LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,um,mean,cost,32.21748343425,37.39624901,37.926609084866655,31.89806609333333,31.9847706008,32.21748343425,36.06090922916667,37.39624901,37.926609084866655,38.74281642,508,batch_percentile_p05_p95_p99,
MEZCLA,5.0,Desplazamiento Pico a Pico VIX3 — LA Bomba [µm],LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,um,mean,cost,40.0196174445,47.42930340458334,47.61486714226667,39.64605585833333,39.73650541371666,40.0196174445,46.19810685,47.42930340458334,47.61486714226667,47.783728825,508,batch_percentile_p05_p95_p99,
MEZCLA,6.0,Desplazamiento Pico a Pico VIY3 — LA Bomba [µm],LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,um,mean,cost,66.428760586,74.68884426358333,75.31686040940001,65.282404235,65.63688923168334,66.428760586,71.7425081825,74.68884426358333,75.31686040940001,75.71953639666667,508,batch_percentile_p05_p95_p99,
MEZCLA,7.0,Desplazamiento Pico a Pico VIX4 — LL Bomba [µm],LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,um,mean,cost,35.102954420749995,45.70821328341667,46.20405723535,34.459576393333336,34.71126012571667,35.102954420749995,41.7247763375,45.70821328341667,46.20405723535,46.89542307333333,508,batch_percentile_p05_p95_p99,
MEZCLA,8.0,Desplazamiento Pico a Pico VIY4 — LL Bomba [µm],LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,um,mean,cost,39.316115493,47.18017972458333,47.54148816293333,38.323087655,38.68170436486666,39.316115493,46.22551406833334,47.18017972458333,47.54148816293333,47.865725065,508,batch_percentile_p05_p95_p99,
MEZCLA,9.0,Aceleración RMS — LA Motor Horizontal [g],LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,g,mean,cost,0.4480359652591666,0.6885591447616667,0.7531071526928336,0.4258546913833333,0.4354662748951667,0.4480359652591666,0.5235462096333334,0.6885591447616667,0.7531071526928336,0.8172319142166666,508,batch_percentile_p05_p95_p99,
MEZCLA,10.0,Velocidad RMS — LA Motor Horizontal [mm/s],LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,mm/s,mean,cost,1.2731722563583334,1.4984429327,1.5251365009466669,1.2637230621666666,1.2676500899916665,1.2731722563583334,1.4373474499166667,1.4984429327,1.5251365009466669,1.5295746291666668,508,batch_percentile_p05_p95_p99,
MEZCLA,11.0,Aceleración RMS — LA Motor Axial [g],LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,g,mean,cost,0.2569668501308333,0.2858526353383332,0.28949192228,0.2483919078666666,0.2541646043884999,0.2569668501308333,0.2732496614916666,0.2858526353383332,0.28949192228,0.2910202682166666,508,batch_percentile_p05_p95_p99,
MEZCLA,12.0,Velocidad RMS — LA Motor Axial [mm/s],LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,mm/s,mean,cost,1.3676185030083334,1.475080866425,1.4859507469483335,1.3572826833333334,1.3613368799166667,1.3676185030083334,1.4561469341666666,1.475080866425,1.4859507469483335,1.4921301806666667,508,batch_percentile_p05_p95_p99,
MEZCLA,13.0,Aceleración RMS — LA Bomba Axial [g],LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.3772349926599999,0.4222035078808333,0.4245311503411667,0.3705614666166666,0.3715358492343333,0.3772349926599999,0.4169425827083333,0.4222035078808333,0.4245311503411667,0.4266203731666666,508,batch_percentile_p05_p95_p99,
MEZCLA,14.0,Velocidad RMS — LA Bomba Axial [mm/s],LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,la,mm/s,mean,cost,0.705756616575,0.7381136698666666,0.7415601013123334,0.6798596399,0.6948841308186666,0.705756616575,0.7278915061333333,0.7381136698666666,0.7415601013123334,0.7458092709499999,508,batch_percentile_p05_p95_p99,
MEZCLA,15.0,Aceleración RMS — LA Bomba Horizontal [g],LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.4815849483783333,0.5654217443416666,0.578539989784,0.4495257826833334,0.4565362470498333,0.4815849483783333,0.5214418295500001,0.5654217443416666,0.578539989784,0.5838224416166666,508,batch_percentile_p05_p95_p99,
MEZCLA,16.0,Velocidad RMS — LA Bomba Horizontal [mm/s],LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,la,mm/s,mean,cost,1.7561545028083332,2.084432872725,2.136650422,1.6088092071666666,1.6397913791033334,1.7561545028083332,1.924817387083333,2.084432872725,2.136650422,2.202045710666667,508,batch_percentile_p05_p95_p99,
