window_id,window_start,window_end,Batch,has_near_transition,baseline_batch_used,condition_index,condition_index_available_weight,n_variables_used,n_variables_unmatched,assessment_method
59,2025-12-10 19:36:32,2025-12-10 19:37:31,CASTILLA,False,CASTILLA,36.93766497660972,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
60,2025-12-10 19:37:32,2025-12-10 19:38:31,CASTILLA,False,CASTILLA,35.308047717889465,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
61,2025-12-10 19:38:32,2025-12-10 19:39:31,CASTILLA,False,CASTILLA,42.11283474062493,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
62,2025-12-10 19:39:32,2025-12-10 19:40:31,CASTILLA,False,CASTILLA,39.628570823484495,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
63,2025-12-10 19:40:32,2025-12-10 19:41:31,CASTILLA,False,CASTILLA,36.62149060402764,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
64,2025-12-10 19:41:32,2025-12-10 19:42:31,CASTILLA,False,CASTILLA,35.400066707123706,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
65,2025-12-10 19:42:32,2025-12-10 19:43:31,CASTILLA,False,CASTILLA,33.86377488906277,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
66,2025-12-10 19:43:32,2025-12-10 19:44:31,CASTILLA,False,CASTILLA,38.51493429352668,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
67,2025-12-10 19:44:32,2025-12-10 19:45:31,CASTILLA,False,CASTILLA,39.026433019901866,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
68,2025-12-10 19:45:32,2025-12-10 19:46:31,CASTILLA,False,CASTILLA,36.34609420719668,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
69,2025-12-10 19:46:32,2025-12-10 19:47:31,CASTILLA,False,CASTILLA,37.44648093740509,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
70,2025-12-10 19:47:32,2025-12-10 19:48:31,CASTILLA,False,CASTILLA,34.599648514434,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
71,2025-12-10 19:48:32,2025-12-10 19:49:31,CASTILLA,False,CASTILLA,35.108193003393566,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
72,2025-12-10 19:49:32,2025-12-10 19:50:31,CASTILLA,False,CASTILLA,36.84318026816041,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
73,2025-12-10 19:50:32,2025-12-10 19:51:31,CASTILLA,False,CASTILLA,33.30513055114557,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
74,2025-12-10 19:51:32,2025-12-10 19:52:31,CASTILLA,False,CASTILLA,30.08981098964714,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
75,2025-12-10 19:52:32,2025-12-10 19:53:31,CASTILLA,False,CASTILLA,32.18080852203406,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
76,2025-12-10 19:53:32,2025-12-10 19:54:31,CASTILLA,False,CASTILLA,39.22866837529008,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
77,2025-12-10 19:54:32,2025-12-10 19:55:31,CASTILLA,False,CASTILLA,34.570640316873416,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
78,2025-12-10 19:55:32,2025-12-10 19:56:31,CASTILLA,False,CASTILLA,33.17967536477389,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
79,2025-12-10 19:56:32,2025-12-10 19:57:31,CASTILLA,False,CASTILLA,33.106088722738825,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
80,2025-12-10 19:57:32,2025-12-10 19:58:31,CASTILLA,False,CASTILLA,29.061723225783457,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
81,2025-12-10 19:58:32,2025-12-10 19:59:31,CASTILLA,False,CASTILLA,35.34463697864969,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
82,2025-12-10 19:59:32,2025-12-10 20:00:31,CASTILLA,False,CASTILLA,33.66722801328029,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
83,2025-12-10 20:00:32,2025-12-10 20:01:31,CASTILLA,False,CASTILLA,34.47554823294293,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
84,2025-12-10 20:01:32,2025-12-10 20:02:31,CASTILLA,False,CASTILLA,21.72386419629379,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
85,2025-12-10 20:02:32,2025-12-10 20:03:31,CASTILLA,False,CASTILLA,16.856278792066693,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
86,2025-12-10 20:03:32,2025-12-10 20:04:31,CASTILLA,False,CASTILLA,22.122894896220185,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
87,2025-12-10 20:04:32,2025-12-10 20:05:31,CASTILLA,False,CASTILLA,18.610298938664265,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
88,2025-12-10 20:05:32,2025-12-10 20:06:31,CASTILLA,False,CASTILLA,20.85571228825214,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
